2024-02-17 23:54:31,948 - Starting new HTTPS connection (1): statistik.bra.se:443
2024-02-17 23:54:32,232 - https://statistik.bra.se:443 "GET /solwebb/action/start?menykatalogid=1 HTTP/1.1" 200 None
2024-02-17 23:54:32,333 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/urval?menyid=37 HTTP/1.1" 200 None
2024-02-17 23:54:32,390 - Executing request 1/1230 for topic 37
2024-02-17 23:54:32,428 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/urval/vantapopup HTTP/1.1" 200 1084
2024-02-17 23:54:34,305 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/sok HTTP/1.1" 200 700
2024-02-17 23:54:36,844 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/resultat/dbfil HTTP/1.1" 200 None
2024-02-17 23:54:37,231 - Saving response for request 7677
2024-02-17 23:54:37,231 - Response content: Region;Brott;År;Period;Antal;/100 000 inv
Karlskrona kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Karlskrona kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Karlskrona kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Karlskrona kommun;5 kap. Ärekränkningsbrott;1996;Apr;..;..;
Karlskrona kommun;5 kap. Ärekränkningsbrott;1996;Maj;5;8;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2000;Sep;2;3;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2005;Jun;2;3;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;14;23;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2006;Apr;7;11;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2008;Apr;4;6;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2010;Mar;3;5;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;10;16;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2012;Maj;4;6;
Karlskrona kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;5;8;
Olofström kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Olofström kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Olofström kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Olofström kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Olofström kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Olofström kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Olofström kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Olofström kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Olofström kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Olofström kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Olofström kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Olofström kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;1996;Apr;1;7;
Olofström kommun;5 kap. Ärekränkningsbrott;1996;Maj;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;2000;Sep;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;2005;Jun;2;15;
Olofström kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;3;22;
Olofström kommun;5 kap. Ärekränkningsbrott;2006;Apr;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;2008;Apr;2;15;
Olofström kommun;5 kap. Ärekränkningsbrott;2010;Mar;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;2;15;
Olofström kommun;5 kap. Ärekränkningsbrott;2012;Maj;..;..;
Olofström kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;2;16;
Ronneby kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Ronneby kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Ronneby kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Ronneby kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Ronneby kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Ronneby kommun;5 kap. Ärekränkningsbrott;1996;Apr;..;..;
Ronneby kommun;5 kap. Ärekränkningsbrott;1996;Maj;..;..;
Ronneby kommun;5 kap. Ärekränkningsbrott;2000;Sep;1;3;
Ronneby kommun;5 kap. Ärekränkningsbrott;2005;Jun;1;4;
Ronneby kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;6;21;
Ronneby kommun;5 kap. Ärekränkningsbrott;2006;Apr;1;4;
Ronneby kommun;5 kap. Ärekränkningsbrott;2008;Apr;3;11;
Ronneby kommun;5 kap. Ärekränkningsbrott;2010;Mar;2;7;
Ronneby kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;5;18;
Ronneby kommun;5 kap. Ärekränkningsbrott;2012;Maj;..;..;
Ronneby kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;12;43;
Sölvesborg kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Sölvesborg kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;1996;Apr;5;30;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;1996;Maj;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2000;Sep;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2005;Jun;3;18;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;2;12;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2006;Apr;2;12;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2008;Apr;1;6;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2010;Mar;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;6;36;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2012;Maj;..;..;
Sölvesborg kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;5;30;
Uppgift om kommun saknas;3-7 kap. Brott mot person;1995;Feb;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;1996;Apr;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;1996;Maj;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2000;Sep;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2005;Jun;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2006;Apr;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2008;Apr;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2010;Mar;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2012;Maj;..;..;
Uppgift om kommun saknas;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;1995;Feb;3;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;1996;Apr;2;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;1996;Maj;1;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2000;Sep;1;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2005;Jun;1;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2005;Kvartal 1;1;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2006;Apr;1;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2008;Apr;2;0;
